day,time,rank,forgo none floor,forgo none u,forgo one floor,forgo one u,forgo two floor,forgo two u,forgo three floor,forgo three u
Wednesday,1:30 PM,"{'Close to Food': 4, 'Quietness': 1, 'Natural Light': 5, 'Close to Outlet': 2, 'Working Alone': 3}",Basement,0.0,Basement,0.0,Basement,0.0,Basement,0.0
Wednesday,1:30 PM,"{'Close to Food': 5, 'Quietness': 2, 'Natural Light': 4, 'Close to Outlet': 3, 'Working Alone': 1}",Basement,0.0,Basement,0.0,Basement,0.0,Basement,0.0
Wednesday,1:30 PM,"{'Close to Food': 4, 'Quietness': 1, 'Natural Light': 5, 'Close to Outlet': 3, 'Working Alone': 2}",Basement,0.0,Basement,0.0,Basement,0.0,Basement,0.0
Wednesday,4:30 PM,"{'Close to Food': 5, 'Quietness': 3, 'Natural Light': 4, 'Close to Outlet': 1, 'Working Alone': 2}",Basement,0.85,Third,0.73,Basement,0.876,Basement,2.344
Wednesday,4:30 PM,"{'Close to Food': 4, 'Quietness': 2, 'Natural Light': 5, 'Close to Outlet': 1, 'Working Alone': 3}",Basement,0.034,Basement,0.038,Basement,0.024,Basement,0.066
Wednesday,4:30 PM,"{'Close to Food': 5, 'Quietness': 3, 'Natural Light': 4, 'Close to Outlet': 2, 'Working Alone': 1}",Basement,0.001,Basement,0.0,Basement,0.001,Basement,0.002
Wednesday,4:30 PM,"{'Close to Food': 4, 'Quietness': 1, 'Natural Light': 5, 'Close to Outlet': 2, 'Working Alone': 3}",Basement,0.0,Basement,0.0,Basement,0.0,Basement,0.0
Wednesday,4:30 PM,"{'Close to Food': 5, 'Quietness': 2, 'Natural Light': 4, 'Close to Outlet': 3, 'Working Alone': 1}",Basement,0.0,Basement,0.0,Basement,0.0,Basement,0.0
Wednesday,4:30 PM,"{'Close to Food': 4, 'Quietness': 1, 'Natural Light': 5, 'Close to Outlet': 3, 'Working Alone': 2}",Basement,0.0,Basement,0.0,Basement,0.0,Basement,0.0
Wednesday,7:30 PM,"{'Close to Food': 5, 'Quietness': 3, 'Natural Light': 4, 'Close to Outlet': 1, 'Working Alone': 2}",Third,1.489,Third,1.46,Third,1.086,Basement,1.93
Wednesday,7:30 PM,"{'Close to Food': 4, 'Quietness': 2, 'Natural Light': 5, 'Close to Outlet': 1, 'Working Alone': 3}",Basement,0.028,Basement,0.031,Basement,0.02,Basement,0.054
Wednesday,7:30 PM,"{'Close to Food': 5, 'Quietness': 3, 'Natural Light': 4, 'Close to Outlet': 2, 'Working Alone': 1}",Basement,0.001,Basement,0.0,Basement,0.001,Basement,0.002
Wednesday,7:30 PM,"{'Close to Food': 4, 'Quietness': 1, 'Natural Light': 5, 'Close to Outlet': 2, 'Working Alone': 3}",Basement,0.0,Basement,0.0,Basement,0.0,Basement,0.0
Wednesday,7:30 PM,"{'Close to Food': 5, 'Quietness': 2, 'Natural Light': 4, 'Close to Outlet': 3, 'Working Alone': 1}",Basement,0.0,Basement,0.0,Basement,0.0,Basement,0.0
Wednesday,7:30 PM,"{'Close to Food': 4, 'Quietness': 1, 'Natural Light': 5, 'Close to Outlet': 3, 'Working Alone': 2}",Basement,0.0,Basement,0.0,Basement,0.0,Basement,0.0
Wednesday,10:30 PM,"{'Close to Food': 5, 'Quietness': 3, 'Natural Light': 4, 'Close to Outlet': 1, 'Working Alone': 2}",Third,1.56,Third,1.529,Third,1.138,Basement,2.482
Wednesday,10:30 PM,"{'Close to Food': 4, 'Quietness': 2, 'Natural Light': 5, 'Close to Outlet': 1, 'Working Alone': 3}",Basement,0.036,Basement,0.04,Basement,0.025,Basement,0.07
Wednesday,10:30 PM,"{'Close to Food': 5, 'Quietness': 3, 'Natural Light': 4, 'Close to Outlet': 2, 'Working Alone': 1}",Basement,0.001,Basement,0.0,Basement,0.001,Basement,0.002
Wednesday,10:30 PM,"{'Close to Food': 4, 'Quietness': 1, 'Natural Light': 5, 'Close to Outlet': 2, 'Working Alone': 3}",Basement,0.0,Basement,0.0,Basement,0.0,Basement,0.0
Wednesday,10:30 PM,"{'Close to Food': 5, 'Quietness': 2, 'Natural Light': 4, 'Close to Outlet': 3, 'Working Alone': 1}",Basement,0.0,Basement,0.0,Basement,0.0,Basement,0.0
Wednesday,10:30 PM,"{'Close to Food': 4, 'Quietness': 1, 'Natural Light': 5, 'Close to Outlet': 3, 'Working Alone': 2}",Basement,0.0,Basement,0.0,Basement,0.0,Basement,0.0
Thursday,10:30 AM,"{'Close to Food': 5, 'Quietness': 3, 'Natural Light': 4, 'Close to Outlet': 1, 'Working Alone': 2}",Third,1.949,Third,1.912,Third,1.422,Basement,2.895
Thursday,10:30 AM,"{'Close to Food': 4, 'Quietness': 2, 'Natural Light': 5, 'Close to Outlet': 1, 'Working Alone': 3}",Basement,0.042,Basement,0.047,Basement,0.029,Basement,0.081
Thursday,10:30 AM,"{'Close to Food': 5, 'Quietness': 3, 'Natural Light': 4, 'Close to Outlet': 2, 'Working Alone': 1}",Basement,0.001,Basement,0.001,Basement,0.001,Basement,0.003
Thursday,10:30 AM,"{'Close to Food': 4, 'Quietness': 1, 'Natural Light': 5, 'Close to Outlet': 2, 'Working Alone': 3}",Basement,0.0,Basement,0.0,Basement,0.0,Basement,0.0
Thursday,10:30 AM,"{'Close to Food': 5, 'Quietness': 2, 'Natural Light': 4, 'Close to Outlet': 3, 'Working Alone': 1}",Basement,0.0,Basement,0.0,Basement,0.0,Basement,0.0
Thursday,10:30 AM,"{'Close to Food': 4, 'Quietness': 1, 'Natural Light': 5, 'Close to Outlet': 3, 'Working Alone': 2}",Basement,0.0,Basement,0.0,Basement,0.0,Basement,0.0
Thursday,1:30 PM,"{'Close to Food': 5, 'Quietness': 3, 'Natural Light': 4, 'Close to Outlet': 1, 'Working Alone': 2}",Third,1.347,Third,1.321,Third,0.983,Basement,2.068
Thursday,1:30 PM,"{'Close to Food': 4, 'Quietness': 2, 'Natural Light': 5, 'Close to Outlet': 1, 'Working Alone': 3}",Basement,0.03,Basement,0.033,Basement,0.021,Basement,0.058
Thursday,1:30 PM,"{'Close to Food': 5, 'Quietness': 3, 'Natural Light': 4, 'Close to Outlet': 2, 'Working Alone': 1}",Basement,0.001,Basement,0.0,Basement,0.001,Basement,0.002
Thursday,1:30 PM,"{'Close to Food': 4, 'Quietness': 1, 'Natural Light': 5, 'Close to Outlet': 2, 'Working Alone': 3}",Basement,0.0,Basement,0.0,Basement,0.0,Basement,0.0
Thursday,1:30 PM,"{'Close to Food': 5, 'Quietness': 2, 'Natural Light': 4, 'Close to Outlet': 3, 'Working Alone': 1}",Basement,0.0,Basement,0.0,Basement,0.0,Basement,0.0
